"Campo","Descripción"
"pais","Nombre del país"
"iso3","Código ISO 3166-1 alfa-3"
"anio","Año de referencia"
"indicador","Nombre del indicador"
"codigo_indicador","Código de la serie en la fuente original"
"tipo","Observado | Estimación de la fuente | Proyección de la fuente | Proyección propia"
"modelo","Especificación empleada; vacío salvo en proyección propia"
"valor","Valor del indicador"
"unidad","Unidad de medida"
"cobertura_institucional","Perímetro institucional del dato"
"fuente","Fuente primaria"
"nota","Advertencia de construcción o comparabilidad, cuando aplica"
"ADVERTENCIA DE USO","Las proyecciones de gasto en salud y pensiones (tipo = 'Proyección propia') parten de un último dato observado en 2020 en cuatro de los seis países, año afectado por el choque sanitario. Dado que la ventana de validación del modelo (últimos cuatro años) contiene dicho choque, la selección favorece especificaciones de tendencia no amortiguada que extrapolan el incremento de 2020 como si fuera estructural. Esto es particularmente relevante en tres series: gasto en salud de Chile (6.03 en 2020 a 12.38 en 2030), gasto en pensiones de México (3.01 a 5.30) y gasto en salud de México (1.24 a 1.65), cuyas trayectorias exceden el rango histórico observado. Estas proyecciones deben interpretarse como cota superior de un escenario inercial, no como estimación central. Los agregados fiscales del WEO no presentan esta limitación por disponer de datos hasta 2024."
