id,capitulo,seccion,afirmacion,tipo,tier_seccion,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,contrafactual_explicito,nota
V001,Resumen,"Resumen, Parte I ingresos (p.vii)",Los ingresos públicos se han mantenido constantes con relación al tamaño de la economía durante los últimos años,c,juicio,,CGPE p.87: ingresos presupuestarios 23.0 / 24.1 / 22.6 / 21.7 / 22.0 / 23.1 (2015-2020); 22.5 est. 2021; 21.9 en 2022,rango 21.7-24.1 % del PIB,,,,na,Juicio. La serie oficial oscila 2.4 pp; 'constantes' es lectura.
V002,Resumen,"Resumen, Parte I ingresos (p.vii)","Para 2022 sumarían 21.9 % del PIB, 14.0 puntos emanarían de impuestos",a,restitucion,21.9; 14.0,"CGPE p.120: 6,172,635.1 / 28,129.3 = 21.94; tributarios 3,944,463.7 = 14.02",21.9; 14.0,si,,,na,
V003,Resumen,"Resumen, Criterios generales (p.vii)",Marco macro con crecimiento optimista: 6.3 % para el cierre de 2021 ('20221' sic) y 4.1 % para 2022,a/c,juicio,6.3; 4.1,"CGPE p.39, 119",6.3; 4.1,si,,,na,Cifras correctas; 'optimista' es juicio sin comparativo (el CGPE 2022 no trae cuadro de expectativas privadas). Errata '20221'.
V004,Resumen,"Resumen, Criterios generales (p.vii)",Miscelánea sin expectativas de que los tributarios aumenten sustancialmente; mayor tolerancia al endeudamiento; desaparece la idea de reforma fiscal integral,c,juicio,,"CGPE p.47: tributarios +6.4 % real vs cierre, +7.7 vs LIF; ILIF art. 2o.: interno 850 mmp (2021: 700), externo 3,800 mdd (2021: 5,200)",,,,,na,Juicio. Dato en contra parcial: los tributarios crecen 6.4 % real contra cierre; el techo interno sube 21 % nominal y el externo baja 27 %.
V005,Resumen,"Resumen, Ingresos (p.vii)","Ingresos presupuestarios 21.9 % del PIB = 6,172,635 mdp; +0.6 puntos del PIB respecto a lo proyectado en la LIF 2021",a/b,restitucion,"21.9; 6,172,635; +0.6 pp","CGPE p.120 (6,172,635.1; 21.9); LIF 2021 5,538,946.6 sobre PIB revisado 26,055.3 = 21.3 (CGPE p.34) -> +0.6; sobre PIB de aprobación 24,983.9 = 22.2 (p.16, 120) -> -0.3","6,172,635.1; 21.9; +0.6 con PIB revisado / -0.3 con PIB de aprobación",si,,,no,Reproduce solo con el PIB revisado para 2021; el resumen no lo declara (el cap. 1 p.3 sí: 'utilizando la estimación del PIB más reciente'). El CGPE presenta ambas.
V006,Resumen,"Resumen, Ingresos (p.vii)","Tributarios 14.0 % del PIB, seguidos de petroleros con 3.9 %",a,restitucion,14.0; 3.9,CGPE p.120,14.0; 3.9,si,,,na,
V007,Resumen,"Resumen, Ingresos (p.vii)",Los cambios legales de 2022 y años anteriores han fortalecido el sistema tributario; los ingresos siguen siendo bajos frente a estándares internacionales; necesidad de reforma fiscal,c,juicio,,,,,,,na,Juicio; el comparativo internacional es externo (OCDE).
V008,Resumen,"Resumen, Ingresos energéticos (p.vii)","Ingresos del sector energético (Pemex, CFE, FMP) 5.3 % del PIB; +7.3 % real",b,restitucion,5.3; 7.3,"ILIF art. 1o.: 716,087.2 + 370,928.1 + 406,582.8 = 1,493,598.1; 2021: 593,669.4 + 343,039.0 + 405,445.1 = 1,342,153.5; 1,493,598.1 / (1,342,153.5 x 1.037) - 1 = +7.3 %; / 28,129.3 = 5.31 %",5.31; +7.3,si,,,si,Perímetro declarado (Pemex + CFE + FMP); base LIF 2021 y deflactor 1.037 reproducen exactamente.
V009,Resumen,"Resumen, Ingresos energéticos (p.vii)",Petroleros 12 % superiores respecto a LIF 2021,b,restitucion,12,"CGPE p.120: petroleros +11.9 % real vs aprobado; con perímetro Pemex+FMP: 1,087,015.3 / (936,708.4 x 1.037) - 1 = +11.9",+11.9,si,,,si,
V010,Resumen,"Resumen, Ingresos energéticos (p.vii)","Se propone la reducción de la tasa del DUC, principal carga fiscal de Pemex, de 58 % a 40 %",a,restitucion,58 -> 40,"CGPE p.40 y ILIF exposición p.LIII: 'de 54 por ciento, de conformidad con la legislación vigente, a 40 por ciento'; ILIF art. 22",54 -> 40,no,58 vs 54,transcripcion,na,"El propio cap. 2 (p.10) dice 54 -> 40; el resumen contradice al capítulo. El 58 fue la tasa de 2020 (decreto, no en carpeta)."
