variable,aprobado_2025,estimado_2025,proyecto_2026
"PIB, crecimiento real (rango)","[2.0,3.0]","[0.5,1.5]","[1.8,2.8]"
PIB nominal (miles de millones de pesos),36166.4,36125.5,38715.9
Deflactor del PIB (%),4.3,5.2,4.8
Inflación dic/dic (%),3.5,3.8,3.0
Inflación promedio (%),3.8,4.2,3.5
Tipo de cambio fin de periodo,18.5,19.9,18.9
Tipo de cambio promedio,18.7,19.6,19.3
Cetes 28 nominal fin de periodo (%),8.0,7.3,6.0
Cetes 28 nominal promedio (%),8.9,8.4,6.6
Cetes 28 real acumulada (%),5.6,4.8,3.6
Cuenta corriente (% del PIB),-0.4,-0.3,-0.6
"Petróleo, precio promedio (dls/barril)",57.8,62.0,54.9
Plataforma de producción (mbd),1891.2,1713.9,1794.0
Plataforma de exportación (mbd),891.5,616.4,521.0
Plataforma de privados (mbd),74.0,51.0,119.0
"Gas, precio promedio (dls/MMBtu)",3.1,3.5,4.0
