id,capitulo,seccion,afirmacion,tipo,tier_seccion,valor_ciep,fuente_oficial,valor_oficial,coincide,discrepancia,tipo_error,contrafactual_explicito,nota
V001,Presentación,Presentación (p. vi),Tasa de referencia de EE.UU. pasó de 0–0.25 % a 2.25–2.50 %; CEPAL anticipa 3.25–3.50 % al cierre de 2022,a,restitucion,0–0.25 → 2.25–2.50; 3.25–3.50,Fed / CEPAL (fuentes externas al paquete),,no_verificable,,,na,Fuente externa; no está en el paquete.
V002,Presentación,Presentación (p. vi),"Crecimiento estimado al cierre de 2022 de 2.4 %, menor al 4.1 % aprobado hace un año",a,restitucion,2.4; 4.1,CGPE 2023 p. 19 y 134 (SHCP); CGPE 2022 p. 39,2022e 2.4; aprobado 2022 4.1,si,,,si,
V003,Presentación,Presentación (p. vi),"La SHCP estima que inflación, tasa de interés y precio de la mezcla al cierre de 2022 serán mayores que en los CGPE 2022",a,restitucion,mayores,"CGPE 2023 p. 19, 134 vs CGPE 2022 p. 39 (SHCP)",inflación dic/dic 7.7 vs 3.4; Cetes fin 9.5 vs 5.3; mezcla 93.6 vs 55.1 dpb,si,,,si,
V004,Presentación,Presentación (p. vi),"CGPE estiman PIB 2023 de 3.0 %, por encima del 1.2 % del FMI y del PIB potencial de 2.4 % de la SHCP; habría que crecer 0.6 pp sobre el potencial",a/b,restitucion,3.0; 1.2; 2.4; 0.6,CGPE 2023 p. 134 (3.0) y p. 145 (PIB potencial 2.38 %) (SHCP); FMI externo,3.0 ✓; 2.38 ≈ 2.4 ✓; 3.0 − 2.4 = 0.6 ✓; FMI no verificable,si,,,na,"El 1.2 del FMI es fuente externa (coincide con el piso del rango 1.2–3.0 del CGPE p. 134, pero CIEP lo atribuye al FMI)."
V005,Presentación,Presentación (p. vi),"Inflación promedio 2023 de 4.7 %, tasa de interés promedio de 8.95 %, tasa real de 4.1 %",a/b,restitucion,4.7; 8.95; 4.1,CGPE 2023 p. 134 (SHCP),4.7 ✓; 8.95 ✓; real promedio oficial 4.04; 1.0895/1.047 − 1 = 4.06,aprox,4.1 vs 4.04,,na,Redondeo.
V006,Presentación,Cuadro macro (p. vii),"Cuadro: 2022 aprobado 4.1 / 4.1 / 5.0 / 55.1 / 20.3; 2022 estimado 2.4 / 7.8 / 7.5 / 93.6 / 20.4; 2023 3.0 / 4.7 / 8.9 / 68.7 / 20.6 (crecimiento, inflación, tasa nominal, mezcla, tipo de cambio)",a,restitucion,ver afirmación,CGPE 2022 p. 39; CGPE 2023 p. 134 (SHCP),"Todas coinciden como inflación promedio, Cetes 28 promedio y tipo de cambio promedio; Cetes 2022e 7.48 → 7.5 ✓; 2023 8.95 → CIEP 8.9 (trunca)",aprox,8.9 vs 8.95,,na,"El cuadro no dice que 'inflación', 'tasa' y 'tipo de cambio' son promedios anuales (no fin de periodo)."
V007,Presentación,Austeridad fiscal (p. vii),RFSP en 4.1 % del PIB y SHRFSP en 49.4 % del PIB,a,restitucion,4.1; 49.4,"CGPE 2023 p. 16, 135 (SHCP)",−4.1; 49.4,si,,,na,
V008,Presentación,Austeridad fiscal (p. vii),El Gasto Corriente Estructural propuesto excede el límite en 102.2 mil mdp,a,restitucion,102.2 mil mdp,CGPE 2023 p. 69 (SHCP),"102.2 mmp sobre el LMGCE de 3,117.7 mmp",si,,,na,
V009,Presentación,Austeridad fiscal (p. vii),Es la primera ocasión desde 2014 en que el GCE propuesto excede el límite,a/c,restitucion,desde 2014,Serie del LMGCE por paquete (no en carpeta),,no_verificable,,,na,Requiere los CGPE 2015–2022 (Anexo IV.2 de cada uno); solo 2022 y 2023 están en carpeta.
V010,Presentación,Visión 2023 (p. vii),No se presentó miscelánea fiscal; los cambios se concentran en la Ley Federal de Derechos y la LFPRH,a,restitucion,sin miscelánea; LFD; LFPRH,CGPE 2023 p. 17 (sin nuevos impuestos ni aumentos) (SHCP); iniciativas LFD y LFPRH no en carpeta,Congruente con CGPE p. 17 y 73,si,,,na,Las iniciativas de LFD y LFPRH no están en la carpeta; se acepta por el CGPE.
